t_cmd,cmd_thrust,cmd_phi,cmd_theta,cmd_psi
0.0,0x0.0p+0,0x0.0p+0,0x0.0p+0,0x0.0p+0
0.03,0x0.0p+0,-0x1.e47edf2000000p+6,-0x1.3c48093000000p+8,-0x1.d11a6fd000000p+10
0.060000000000000005,0x1.5ef43f1b34a27p+15,-0x1.10c11db000000p+6,-0x1.5536271000000p+8,-0x1.e45b7cba00000p+10
0.09,0x1.6641ed3803f23p+15,-0x1.7daef96000000p+5,-0x1.42722c5000000p+8,-0x1.2b220def00000p+10
0.11999999999999998,0x1.674e8cbaebb21p+15,0x1.ccf9506000000p+3,-0x1.dacf1f8000000p+7,-0x1.2721b60000000p+9
0.15,0x1.68204e77131d7p+15,-0x1.26cd867000000p+4,-0x1.ae0fc3a000000p+6,-0x1.082b654800000p+8
0.18000000000000002,0x1.68e81cf0e0560p+15,0x1.1217bfc000000p+4,-0x1.9a40b50000000p+6,-0x1.f8716e9e00000p+6
0.21000000000000005,0x1.69a7cda557d1dp+15,-0x1.981fdbc000000p+3,-0x1.37d5d3f000000p+3,-0x1.b834286200000p+5
0.24000000000000007,0x1.6a5ffe4864c21p+15,0x1.e67bcea000000p+3,-0x1.fd7b2c4000000p+5,-0x1.ade8118400000p+3
0.2700000000000001,0x1.6b11430fa9030p+15,-0x1.7b0230b000000p+3,0x1.080955c000000p+5,-0x1.9a21511000000p+4
0.3000000000000001,0x1.6bbc228792366p+15,0x1.d691d20000000p+3,-0x1.d9987a8000000p+5,0x1.4b79800500000p+4
0.3300000000000001,0x1.6c6118e3a4823p+15,-0x1.994e30a000000p+3,0x1.cbc8a9c000000p+5,-0x1.0d4be0e300000p+5
0.36000000000000015,0x1.6d009bf363edcp+15,0x1.0036aaf000000p+4,-0x1.138624a000000p+6,0x1.344b37c000000p+5
0.3900000000000002,0x1.6d9b1ce69c6aap+15,-0x1.e97c5ca000000p+3,0x1.3612e80000000p+6,-0x1.85460a9200000p+5
0.4200000000000002,0x1.6e3102491aed8p+15,0x1.334bab7000000p+4,-0x1.543c2bc000000p+6,0x1.b3236a9000000p+5
0.45000000000000023,0x1.6ec29aba7ed67p+15,-0x1.2f4c065000000p+4,0x1.881e530000000p+6,-0x1.03dd03cf00000p+6
0.48000000000000026,0x1.6f503fc0d835dp+15,0x1.7432995000000p+4,-0x1.a4f1da6000000p+6,0x1.1a2f6d7500000p+6
0.5100000000000002,0x1.6fda49bc0ebd0p+15,-0x1.82b7bcd000000p+4,0x1.e1cc8a2000000p+6,-0x1.49d8931c00000p+6
0.5400000000000003,0x1.70611630a0d61p+15,0x1.c5af462000000p+4,-0x1.00aee51000000p+7,0x1.610fa84f00000p+6
0.5700000000000003,0x1.70e4f012aa312p+15,-0x1.e32c2ce000000p+4,0x1.1fa1773000000p+7,-0x1.94d9412200000p+6
0.6000000000000003,0x1.716620e00ea4fp+15,0x1.243c864000000p+6,0x1.8e520cd000000p+8,0x1.dff86ec600000p+9
0.6300000000000003,0x1.71e44b66c6aedp+15,-0x1.4496e43000000p+6,0x1.65e5888000000p+8,-0x1.1080a61300000p+9
0.6600000000000004,0x1.725f072b0bd78p+15,0x1.c616cd4000000p+5,0x1.463858f000000p+7,-0x1.40e6a10900000p+5
0.6900000000000004,0x1.72d5d3fffdb5cp+15,-0x1.da45ea8000000p+5,0x1.67e0d22000000p+7,-0x1.21e5f95800000p+7
