t,query_p,query_q,query_r
0.0,0x0.0p+0,0x0.0p+0,0x0.0p+0
0.0,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.03,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.060000000000000005,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.09,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.11999999999999998,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.15,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.18000000000000002,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.21000000000000005,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.24000000000000007,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.2700000000000001,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.3000000000000001,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.3300000000000001,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.36000000000000015,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.3900000000000002,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.4200000000000002,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.45000000000000023,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.48000000000000026,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.5100000000000002,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.5400000000000003,0x1.077e989c2e248p-3,-0x1.579da6725167dp-3,-0x1.93e329db3ff10p-4
0.5700000000000003,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.93e329db3ff10p-4
0.6000000000000003,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.93e329db3ff10p-4
0.6300000000000003,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.93e329db3ff10p-4
0.6600000000000004,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.93e329db3ff10p-4
0.6900000000000004,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.93e329db3ff10p-4
0.7200000000000004,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.93e329db3ff10p-4
0.7500000000000004,0x1.077e989c2e248p-3,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.7800000000000005,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.8100000000000005,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.8400000000000005,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.8700000000000006,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.9000000000000006,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.9300000000000006,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.9600000000000006,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
0.9900000000000007,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
1.0200000000000007,-0x1.14f0085316600p-9,0x1.7eeb93c40d5e4p-4,-0x1.12bff557267dap-4
