t,z,u,v,w,phi,theta,psi,p,q,r
0.0,0x1.fb2a10a19cfb2p-1,0x1.3038c404bf128p-2,-0x1.302346b0dc694p-1,0x1.951c9c1a6c328p-3,-0x1.0663565d8ff30p-6,-0x1.e413beb1d1902p-4,-0x1.77599ec4d2ec6p-1,0x1.7b14045ed4b8cp-3,0x1.520e52efdfc78p-4,0x1.14b7aa1cf6ddap-3
0.03,0x1.fcada30aa6410p-1,0x1.0a8a88860ec17p-2,-0x1.2e81d6201177fp-1,-0x1.4b29100ad9119p-4,-0x1.6a1f940ca5105p-7,-0x1.da37dcb676cc8p-4,-0x1.755aaa6596230p-1,0x1.68c5852e4977cp-3,0x1.30c75dc6feaa0p-4,0x1.004c016c249c6p-3
0.060000000000000005,0x1.fbcdf50d87f68p-1,0x1.cd9c106cfcf26p-3,-0x1.2db6e7a424ccdp-1,-0x1.99ea2396e6058p-4,-0x1.9924262bf6f11p-8,-0x1.d5067418d73b3p-4,-0x1.7445ac8fa1b98p-1,0x1.48eaee4a8b49ep-3,0x1.1e552e7c8a748p-7,0x1.feb345271d430p-7
0.09,0x1.fa98f1ed6558fp-1,0x1.8929371d04117p-3,-0x1.2d54017cd8970p-1,-0x1.c60e7498c6711p-4,-0x1.8efaad96be52bp-10,-0x1.d7d8f1c98a874p-4,-0x1.748ff1069da7ap-1,0x1.32c453d83de40p-3,-0x1.bf7518897e94ep-5,-0x1.b420fe3113ba0p-5
0.11999999999999998,0x1.f922df00b5424p-1,0x1.453c635727839p-3,-0x1.2d89240107d7fp-1,-0x1.ee4070a3616d8p-4,0x1.aa401d94b29ebp-9,-0x1.e16b53b2985b6p-4,-0x1.75a667e5703c2p-1,0x1.3753dfc3d4fbcp-3,-0x1.9f1324c3103bap-4,-0x1.657412c4b4080p-4
0.15,0x1.f76fea6b8fa48p-1,0x1.002a073bb969ep-3,-0x1.2e779af6d4922p-1,-0x1.090ccad3073b0p-3,0x1.095764b5c855ap-7,-0x1.ef20664b99242p-4,-0x1.7720c23e6ef24p-1,0x1.2f5a699bb3164p-3,-0x1.f741e1244bb21p-4,-0x1.a3ea531ad7111p-4
0.18000000000000002,0x1.f5839b27785c5p-1,0x1.7233ef49700bdp-4,-0x1.302c2d644eab9p-1,-0x1.1882f25314fc5p-3,0x1.a97b100de1f57p-7,-0x1.ff59cf4272cd7p-4,-0x1.78caf1a107df0p-1,0x1.35796a0dcc3bep-3,-0x1.25d0243a25e82p-3,-0x1.c1c5ff4bdfabfp-4
0.21000000000000005,0x1.f361382093ef2p-1,0x1.be70df2f4bf82p-5,-0x1.32ae24503c9ddp-1,-0x1.255ad51019991p-3,0x1.25728360934cdp-6,-0x1.0873bd0cf29f4p-3,-0x1.7a8d622259dcbp-1,0x1.2fa6fb12cad44p-3,-0x1.2a6dcd1eac9a7p-3,-0x1.cee28ba9353c2p-4
0.24000000000000007,0x1.f10bcc359ef75p-1,0x1.1c095b8b35110p-6,-0x1.35fefc2a159eep-1,-0x1.2f86412edbae1p-3,0x1.7685b0aea8f16p-6,-0x1.11a91b1b98477p-3,-0x1.7c5b64c07d944p-1,0x1.34ed76a4a8b3cp-3,-0x1.45115aa4453adp-3,-0x1.d216363241c8ep-4
0.2700000000000001,0x1.ee862b81698f8p-1,-0x1.5a8f16418f896p-6,-0x1.3a20b86fce7efp-1,-0x1.36fccdf536740p-3,0x1.c7f7a34f4140ap-6,-0x1.1b0bc6203b397p-3,-0x1.7e317a7496a2cp-1,0x1.2f6cc90b00963p-3,-0x1.38b9b70def2b4p-3,-0x1.d8365c799f9d8p-4
0.3000000000000001,0x1.ebd2f77ea6f25p-1,-0x1.f375d4b1f132fp-5,-0x1.3f12d1d41af45p-1,-0x1.3bbc087d755f7p-3,0x1.0cd9d0a91244fp-5,-0x1.249554691eed0p-3,-0x1.800bd57fd86aap-1,0x1.347ca15d52c3fp-3,-0x1.51a24441bdaeap-3,-0x1.d3409e759610ep-4
0.3300000000000001,0x1.e8f4a1d540689p-1,-0x1.a24fca5230ab7p-4,-0x1.44d67a9869a8ep-1,-0x1.3dc4b51e41b83p-3,0x1.35d901b28b159p-5,-0x1.2e1e61b6290a9p-3,-0x1.81eb23c678f59p-1,0x1.2e8c09ca08f4dp-3,-0x1.3b1caa69a4349p-3,-0x1.db4eb3691ac87p-4
0.36000000000000015,0x1.e5ed6e8b372cap-1,-0x1.2821cc2241701p-3,-0x1.4b6ac52770ed4p-1,-0x1.3d15153174fc2p-3,0x1.5efef3becb3f3p-5,-0x1.37b6452aee83ap-3,-0x1.83cd93a8dab92p-1,0x1.343c5bc87aea0p-3,-0x1.57f3c81c42945p-3,-0x1.d215ee3822bafp-4
0.3900000000000002,0x1.e2bf781ea6e3dp-1,-0x1.81cf4c9453269p-3,-0x1.52d0ed78e0642p-1,-0x1.39af4908009cap-3,0x1.883d37d0b0fbap-5,-0x1.413d0b52fc08bp-3,-0x1.85b48cc39bdeap-1,0x1.2d0fbc655353bp-3,-0x1.393abf4124ae3p-3,-0x1.ddc1baa5cebb7p-4
0.4200000000000002,0x1.df6cb7da188c1p-1,-0x1.de19b3ce5c1dep-3,-0x1.5b07a38942e41p-1,-0x1.3387d4b5b116bp-3,0x1.b1a3246f4aa4cp-5,-0x1.4acc5b16c891fp-3,-0x1.879e927200b93p-1,0x1.340194414a35ap-3,-0x1.5caa7aa48d5dfp-3,-0x1.d0aba90670aa2p-4
0.45000000000000023,0x1.dbf702cb7c6d1p-1,-0x1.1e840df8374e3p-2,-0x1.64107abf3f943p-1,-0x1.2aa6cfad87df7p-3,0x1.db1f9aa6c67c0p-5,-0x1.5443348a1c60cp-3,-0x1.898d1354e585cp-1,0x1.2b659940818f5p-3,-0x1.357fd9b790281p-3,-0x1.e04691f830592p-4
0.48000000000000026,0x1.d8600aaa94ccbp-1,-0x1.4f3ed40722ea1p-2,-0x1.6de9cabee0808p-1,-0x1.1efcdae1b75fcp-3,0x1.0265ccdb00ed6p-4,-0x1.5dc27f8642544p-3,-0x1.8b7ec4a5e9325p-1,0x1.343a05316a12dp-3,-0x1.61669df50b1e8p-3,-0x1.cf5dd90d1610ap-4
0.5100000000000002,0x1.d4a95cb419dffp-1,-0x1.8143373191876p-2,-0x1.7895a9322861cp-1,-0x1.10973914653b8p-3,0x1.17467c62eeedbp-4,-0x1.67250c51c4807p-3,-0x1.8d751157d580cp-1,0x1.29916b5639647p-3,-0x1.30bc07023fabbp-3,-0x1.e3395258d8ecbp-4
0.5400000000000003,0x1.d0d46830997f2p-1,-0x1.b47f826fbaf94p-2,-0x1.8411c24454372p-1,-0x1.febb44355d435p-4,0x1.2c3faf6451587p-4,-0x1.708ffc46cac1cp-3,-0x1.8f6e939c67ae2p-1,0x1.3481862800c2bp-3,-0x1.66297729fabeep-3,-0x1.cdeec1e65f075p-4
0.5700000000000003,0x1.cce27f5d51ef0p-1,-0x1.e8fd4a82095e9p-2,-0x1.9060b111542f4p-1,-0x1.d6bdc5fddc283p-4,0x1.413fde171dd9fp-4,-0x1.79de9fb2a8bf5p-3,-0x1.916cc3c4a34e6p-1,0x1.272d81feda384p-3,-0x1.2c29a7ff57ed8p-3,-0x1.e65c943b9a376p-4
0.6000000000000003,0x1.c8d50da8cb614p-1,-0x1.0f77767c57e48p-1,-0x1.9d4d8f61413edp-1,-0x1.abe3082b4fc52p-4,0x1.560bc59014b5cp-4,-0x1.7ff79f687428fp-3,-0x1.92f7d5f2a8fd8p-1,0x1.4206e4a747614p-3,-0x1.1323a1caa2b80p-4,-0x1.fcc026ed8e354p-5
